,Dataset Name,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,Obesity,NextConvGeN,0.6460411509743412,0.002068813433729492,0.028643814151126292,0.46500498826243825,-21.416413017506358,0.0070624307806926735,0.03698630136986303,0.3149499071421116,0.3133506832257032,0.004671632757967101,5.5713,1.7206,4.1241,0.005
1,Obesity,CTGAN,1.2940296734541953e-07,0.026842891003568743,0.1878292497910008,0.6993534360775089,-6.079614040139501,0.07079900917019855,0.486986301369863,0.369940876926682,0.38134564392731873,0.009141170718408718,5.6743,1.3425,6.1763,0.0023
2,Obesity,convexCTGAN,0.03714815985940886,0.017411434097908934,0.11399009992949802,0.6400804516581888,-8.48333855395792,0.04224315042083031,0.14520547945205486,0.25619439442193237,0.25358392716886735,0.008837139421213551,5.6411,1.4757,5.7516,0.0038
3,Obesity,CTABGAN,1.6173033238631846e-40,0.3635093819103807,0.41864992989445793,0.936103170774681,-1.5303304790981749,,0.4931506849315068,0.22073692158454666,0.2311892791862685,0.013385564771165759,5.6241,1.1703,4.3918,0.0001
4,Obesity,convexCTABGAN,8.419371828430139e-11,0.0687721010534289,0.3416163910077596,0.8584708452327329,-1.7251473982270984,,0.48698630136986304,0.3633405853069585,0.35228239692978663,0.01580715636423824,5.6079,1.2455,5.2928,0.0016
5,Obesity,TabDDPM,0.763805166526227,0.0020464418835690985,0.023049871929147685,0.4705730395687385,-9.292444603135754,0.010412541854014894,0.02602739726027392,0.3485970530635136,0.329673356109463,0.0039872671988211775,5.5635,1.7458,2.9975,0.0057
6,T2DM,NextConvGeN,0.658564774684145,0.026285363848527123,0.0800183742308713,0.5430108743857117,-10.799838344277292,0.01957641486434057,0.025541356070205468,0.10495755700278706,0.08967510725555242,0.003725278252770926,8.3721,1.9769,15.6933,0.0015
7,T2DM,CTGAN,2.0997907307069084e-10,0.03200571541408523,0.23814374462295132,0.7416701211436446,-8.615027817588942,0.044757291623395326,0.35741395287726196,0.0960155797375204,0.07405012349336362,0.01753433864758622,8.46,1.5585,9.6787,0.0009
8,T2DM,convexCTGAN,0.1483117680909621,0.04412236176905904,0.1852145752794005,0.6783286075547622,-7.512116354216957,0.02987842767120392,0.2084098688801006,0.003855743606274581,0.0021257977042171694,0.010942029699219194,8.4192,1.7657,10.5701,0.0015
9,T2DM,CTABGAN,1.6193744155719242e-08,0.061543184022859604,0.29341060150388276,0.8061803808248588,-3.7498272074946875,0.0469295044381559,0.6431453447110593,0.054988759681280586,0.06249972382120389,0.01474882015958235,8.5019,1.3107,8.1918,0.0004
