,Dataset Name,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,Obesity,NextConvGeN,0.6689718811495199,0.0027673429640269025,0.02334454077406525,0.45210619011610104,-12.739485296545274,0.007163551491342425,0.013698630136986356,0.05485126038196392,0.031311200618099444,0.0054624925482223904,5.5811,1.6885,3.8168,0.0048
1,Obesity,CTGAN,0.016274568642801968,0.02608810530883465,0.14288592206110395,0.6479244719274716,-4.893801540865895,0.10716356346734444,0.49109589041095886,0.07307541207465479,0.08536243108235242,0.01206046685797935,5.6722,1.3513,6.085,0.0024
2,Obesity,convexCTGAN,3.711806482748373e-05,0.024798672361714704,0.14861192568053094,0.6766929174495178,-10.81497454392489,0.029801880381309806,0.16164383561643825,0.14779349236686953,0.15940535151067664,0.012059961016090692,5.6422,1.4717,5.727,0.0029
3,Obesity,CTABGAN,1.4615310009645625e-11,0.38704436622334815,0.428169742223282,0.9476941314930409,-1.533728553572677,,0.5047945205479452,0.021879052435550606,0.052664095355811735,0.00950735462384451,5.6227,1.1768,4.333,0.0001
4,Obesity,convexCTABGAN,5.076970294663765e-15,0.07515499379309651,0.3033712031509806,0.8521054053407504,-1.8070586551742638,,0.49589041095890407,0.27069955607854734,0.2940383464189804,0.013028774868172718,5.6038,1.2639,5.2441,0.0018
5,Obesity,TabDDPM,0.6256218216567316,0.001457276586060783,0.02662462900104616,0.4441395663704674,-10.98723739684167,0.015525134954668993,0.025342465753424914,0.27069955607854734,0.2940383464189804,0.006481370357115344,5.5756,1.7066,4.3156,0.0051
6,T2DM,NextConvGeN,0.6348620620310423,0.04248124950079118,0.11448774380996413,0.5662841431773069,-14.896463696804238,0.019791288484417784,0.02497628534429297,0.18102410045251835,0.16509911358393797,0.005803083989229861,8.3255,1.9199,9.6277,0.0015
7,T2DM,CTGAN,1.463673174741345e-05,0.027676845439732835,0.22034919417762297,0.7252012449299479,-6.133741922990799,0.04755878762552779,0.34104461938599706,0.07929568188239253,0.056074355465847436,0.015496348508479668,8.4542,1.5898,10.4744,0.001
8,T2DM,convexCTGAN,2.2754675062374777e-05,0.0390606754762379,0.1870012694596485,0.6789642243698829,-7.868510153296695,0.03128189480230081,0.17073287990977992,0.07298339327642517,0.1000216071198349,0.013536825145454064,8.3622,1.753,7.8827,0.0016
9,T2DM,CTABGAN,2.4389708062846333e-33,0.05993876526248477,0.29481612673019936,0.8100995094431829,-3.6301765115516202,0.046188102836382756,0.6336978041174416,0.0037121324546871837,0.03911770015509361,0.01896361340998587,8.4998,1.3244,7.9562,0.0004
10,T2DM,convexCTABGAN,0.056326927192863294,0.029283720767845252,0.11448475889209113,0.5972319765306513,-5.309710479436794,0.04575279108461955,0.6478070537787675,0.11137539326332188,0.07627533578994444,0.016151470962214365,8.4072,1.5227,8.9371,0.0008
11,T2DM,TabDDPM,0.15959715651174622,0.010972421199997952,0.0982443522395216,0.5699913330779574,-8.112479502784831,0.022763697788991063,0.019189710278076144,0.13997993334020123,0.11857761273035744,0.006113877703150898,8.3776,1.9534,6.2465,0.0017
12,IndianLiverPatients,NextConvGeN,0.6717999207338564,0.0016232684726563106,0.018561767451632266,0.43348270422888363,-9.203767745161265,0.038411750931999986,0.040474683544303613,0.028149647118069186,0.024900642973656552,0.03038016817202375,4.2496,1.9852,4.9944,0.0147
13,IndianLiverPatients,CTGAN,0.15357855373519608,0.009499367377340362,0.22261875287093766,0.7541554570376401,-5.341874201880034,0.09701026995340767,0.5554430379746836,0.1883475786922686,0.22080985239813772,0.06822940724354747,4.3495,1.7555,7.2445,0.0083
14,IndianLiverPatients,convexCTGAN,0.11591368734854982,0.035656896411373706,0.25024294630670263,0.7618708196897666,-3.5058233410070887,0.1036745043139798,0.4900000000000001,0.15655238426731638,0.16672806506269267,0.06696988600182152,4.3229,1.8202,7.9965,0.0093
15,IndianLiverPatients,CTABGAN,0.013442511722934623,0.07553942697091807,0.2831978713083197,0.8272908177049656,-2.0845219136230577,,0.5580063291139241,0.119960600824017,0.13479636958248314,0.06427664210334356,4.2699,1.6637,16.7969,0.0035
16,IndianLiverPatients,convexCTABGAN,0.017893487790971364,0.07154080666436788,0.24000493433746797,0.8154496554250057,-2.3719620317358796,,0.5529113924050634,0.11535142280292002,0.1149284954546642,0.06280118871242366,4.3449,1.4566,3.7389,0.0028
17,IndianLiverPatients,TabDDPM,0.515333788349992,0.0006936545950782819,0.03920187954348065,0.5249414021296427,-6.025804823720927,0.06457925987734152,0.005126582278480951,0.02126145572699788,0.015937728949410895,0.021388322248535208,4.1917,2.1046,7.3532,0.0171
18,HeartDisease,NextConvGeN,0.007472100472697129,0.01335472742290404,0.09486453699287277,0.5331170801442038,-2.0712955478311357,0.27021719973247793,0.009302325581395321,0.40243555039807966,0.3344655570964332,0.010745794710770418,5.1469,1.2288,4.0831,0.001
19,HeartDisease,CTGAN,0.10602333954784818,0.005070099343599228,0.2636626078791846,0.7482464615137872,-5.620099398032668,0.10742369369460074,0.554263565891473,0.18213150302647418,0.2358557230458526,0.06291484979820096,5.1957,1.0025,4.2091,0.001
