,Dataset Name,Model,Accuracy,F1_score,RMSE
0,HeartDisease,NextConvGeN,0.548841059602649,0.542136798435663,0.7912544836883126
1,HeartDisease,CTGAN,0.5107615894039734,0.4866491440290029,1.3235889499698978
2,HeartDisease,convexCTGAN,0.4933774834437086,0.4863498299527924,1.6800679879674811
3,HeartDisease,CTABGAN,0.3882450331125828,0.3708440557986824,1.1386944250773654
4,HeartDisease,convexCTABGAN,0.3187086092715232,0.2263822009209156,1.108245032268947
5,HeartDisease,TabDDPM,0.5885761589403973,0.5798611622448185,1.1971666029057915
0,LungCancer,NextConvGeN,0.6043956043956044,0.599531528910073,
1,LungCancer,CTGAN,0.5229770229770229,0.5226430768978628,
2,LungCancer,convexCTGAN,0.5539460539460539,0.5380871995494876,
3,LungCancer,CTABGAN,0.5434565434565435,0.5215271488553168,
4,LungCancer,convexCTABGAN,0.5194805194805195,0.5105856166200412,
5,LungCancer,TabDDPM,0.6483516483516484,0.6414097289901394,
0,IndianLiverPatients,NextConvGeN,0.6607773851590106,0.6541996321720529,1.3434257001291519
1,IndianLiverPatients,CTGAN,0.6148409893992933,0.5990584770308353,1.3002652927602572
2,IndianLiverPatients,convexCTGAN,0.5936395759717314,0.5981292870505093,1.41956278820262
3,IndianLiverPatients,CTABGAN,0.7031802120141343,0.5806342829494303,1.2309098925987199
4,IndianLiverPatients,convexCTABGAN,0.7031802120141343,0.5806342829494303,1.158090777963382
5,IndianLiverPatients,TabDDPM,0.6289752650176679,0.6296056857737524,1.4196921922054462
0,ContraceptiveMethods,NextConvGeN,0.465063202247191,0.46460449353384375,
1,ContraceptiveMethods,CTGAN,0.47577247191011235,0.442678741216057,
2,ContraceptiveMethods,convexCTGAN,0.43240870786516855,0.4317103499748762,
3,ContraceptiveMethods,CTABGAN,0.35059691011235955,0.31809381242164336,
4,ContraceptiveMethods,convexCTABGAN,0.3734199438202247,0.3774645570832202,
5,ContraceptiveMethods,TabDDPM,0.46014747191011235,0.46015144168150285,
0,Migraine,NextConvGeN,0.7962765957446809,0.7899439689337185,
1,Migraine,CTGAN,0.7617021276595743,0.7476074921177893,
2,Migraine,convexCTGAN,0.7595744680851063,0.7506370398564659,
3,Migraine,CTABGAN,0.6037234042553191,0.6312985084344666,
4,Migraine,convexCTABGAN,0.5497340425531915,0.5720273937708598,
5,Migraine,TabDDPM,0.7909574468085108,0.7862861607756295,
0,Stroke,NextConvGeN,0.7294213528932355,0.7288843649859373,1.3217440226646042
1,Stroke,CTGAN,0.6471882640586797,0.6635664121014238,1.493428825387331
2,Stroke,convexCTGAN,0.6982070089649552,0.701933358409728,1.3406933585242442
3,Stroke,CTABGAN,0.5242053789731052,0.5700048877766828,1.294814375292519
4,Stroke,convexCTABGAN,0.6466992665036675,0.6567751222003069,1.5175867932487679
5,Stroke,TabDDPM,0.7649551752241239,0.7649186652324398,1.242155222223968
0,PimaIndianDiabetes,NextConvGeN,0.6901041666666666,0.6904278965573275,1.24281400529848
1,PimaIndianDiabetes,CTGAN,0.578125,0.5648306197478993,1.5021544643671658
2,PimaIndianDiabetes,convexCTGAN,0.5859375,0.5872106352154245,1.465934244653947
3,PimaIndianDiabetes,CTABGAN,0.6015625,0.6076095314903035,1.4096922285939164
4,PimaIndianDiabetes,convexCTABGAN,0.5911458333333334,0.5990353251118024,1.4489610414311185
5,PimaIndianDiabetes,TabDDPM,0.5416666666666666,0.5558943089430894,1.562798833981295
0,Obesity,NextConvGeN,0.8216917182434424,0.8214809080306762,
1,Obesity,CTGAN,0.5757441791924551,0.5790163769951941,
2,Obesity,convexCTGAN,0.6454465075154731,0.6456664802703725,
3,Obesity,CTABGAN,0.34725906277630414,0.40835403967839173,
4,Obesity,convexCTABGAN,0.4502652519893899,0.49435562584132864,
5,Obesity,TabDDPM,0.8427645151783085,0.8417170495297449,
0,LiverCirrhosis,NextConvGeN,0.6283891547049442,0.6276756128584924,1.0469298380650225
1,LiverCirrhosis,CTGAN,0.5645933014354066,0.571358313509121,1.455018986302051
2,LiverCirrhosis,convexCTGAN,0.5893141945773525,0.5744993123472758,1.5258177605624201
3,LiverCirrhosis,CTABGAN,0.4481658692185008,0.49678483577242344,1.5297586876278295
4,LiverCirrhosis,convexCTABGAN,0.4298245614035088,0.46323895600853326,1.6586669780478531
5,LiverCirrhosis,TabDDPM,0.5406698564593302,0.4991995552243469,1.4562433220357835
0,HeartFailure,NextConvGeN,0.6133333333333333,0.6060730211371166,0.9519153874368733
1,HeartFailure,CTGAN,0.525,0.49795524979672556,1.4498630254056273
2,HeartFailure,convexCTGAN,0.5283333333333333,0.5230302333611314,1.5756780840314304
3,HeartFailure,CTABGAN,0.5016666666666667,0.4935979647391772,1.2781302304168725
4,HeartFailure,convexCTABGAN,0.5216666666666666,0.4945682130256861,1.1224558031053702
5,HeartFailure,TabDDPM,0.5566666666666666,0.5419415662155179,1.0323417889117261
