number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,state
0,,0.5387926357773329,20,5,37,PRUNED
1,,0.7795585311974417,6,4,4,PRUNED
2,,0.8729188669457949,16,7,3,PRUNED
3,,0.16506405886809045,11,9,10,PRUNED
4,,0.26210622617823776,13,5,23,PRUNED
5,,0.32972565896432254,8,7,16,PRUNED
6,,0.46281099457225044,17,6,11,PRUNED
7,,0.15347171131856238,7,7,31,PRUNED
8,,0.727557613304815,20,3,49,PRUNED
9,,0.3961372443656412,6,5,35,PRUNED
10,,0.5758183738140614,20,10,43,PRUNED
11,,0.6650843599263765,3,3,40,PRUNED
12,,0.8564836011372008,12,4,24,PRUNED
13,,0.5520020382522118,16,5,31,PRUNED
14,,0.7218637341993077,10,4,2,PRUNED
15,,0.5589938377431285,18,6,21,PRUNED
16,,0.8075283053365052,14,4,50,PRUNED
17,,0.6778238708190614,18,8,41,PRUNED
18,,0.4249887086925648,9,3,29,PRUNED
19,,0.7792652903920223,5,5,36,PRUNED
20,,0.6202402406863761,14,4,17,PRUNED
21,,0.8723428668438462,16,8,3,PRUNED
22,,0.8814830325954701,19,6,7,PRUNED
23,,0.018822209835063497,15,7,7,PRUNED
24,,0.7736848876759964,12,8,14,PRUNED
25,,0.8171928038358311,18,6,6,PRUNED
26,,0.4824616615038794,16,5,45,PRUNED
27,,0.7168308200478944,20,4,19,PRUNED
28,,0.5147037070214147,15,9,11,PRUNED
29,,0.6275072934273582,11,9,37,PRUNED
30,,0.3608696138870244,19,7,28,PRUNED
31,,0.21866006844762464,13,10,10,PRUNED
32,,0.02529046070929375,11,9,4,PRUNED
33,,0.2868683363965411,8,5,13,PRUNED
34,,0.10372168011705332,13,8,8,PRUNED
35,,0.2523658423821311,9,6,5,PRUNED
36,,0.17508792480919835,17,7,2,PRUNED
37,,0.3074854317844812,11,9,9,PRUNED
38,,0.8977228456328759,5,3,13,PRUNED
39,,0.3663217566486958,14,10,17,PRUNED
40,,0.08930956986307337,17,7,23,PRUNED
41,,0.17135875716695953,7,5,24,PRUNED
42,,0.2416998938039536,10,4,32,PRUNED
43,,0.8349792834272249,15,5,47,PRUNED
44,,0.12314980263503758,12,6,33,PRUNED
45,,0.43537087105773165,4,4,39,PRUNED
46,,0.7683937455482563,3,3,27,PRUNED
47,,0.6860628276944927,8,5,5,PRUNED
48,,0.20879282268074656,7,4,15,PRUNED
49,,0.6022252351720785,12,6,10,PRUNED
