,Dataset Name,Model,Accuracy,F1_score,RMSE
0,HeartDisease,NextConvGeN,0.5529801324503312,0.5578983268252944,0.895577406943779
1,HeartDisease,CTGAN,0.4718543046357616,0.45704715356283865,1.2833176428851694
2,HeartDisease,convexCTGAN,0.48509933774834435,0.4779107865312215,1.6348875679934953
3,HeartDisease,CTABGAN,0.45778145695364236,0.46205249259892506,1.1954542733347393
4,HeartDisease,convexCTABGAN,0.402317880794702,0.3562959773364194,0.7880732442709677
5,HeartDisease,TabDDPM,0.554635761589404,0.55145343903087,1.2394580766083345
0,LungCancer,NextConvGeN,0.6533466533466534,0.6527989938371687,
1,LungCancer,CTGAN,0.5464535464535465,0.5480166935479753,
2,LungCancer,convexCTGAN,0.5399600399600399,0.5326456886555625,
3,LungCancer,CTABGAN,0.5229770229770231,0.5012507231246489,
4,LungCancer,convexCTABGAN,0.538961038961039,0.525213129089018,
5,LungCancer,TabDDPM,0.6418581418581419,0.6441884905811399,
0,IndianLiverPatients,NextConvGeN,0.6219081272084805,0.606694008920824,1.3590828109028026
1,IndianLiverPatients,CTGAN,0.6395759717314488,0.6121973819781071,1.3882563141864448
2,IndianLiverPatients,convexCTGAN,0.6219081272084805,0.596630196968898,1.301767661438368
3,IndianLiverPatients,CTABGAN,0.6819787985865724,0.5530332274252457,1.1670377061745256
4,IndianLiverPatients,convexCTABGAN,0.6678445229681979,0.5786203138180228,1.1514747790513686
5,IndianLiverPatients,TabDDPM,0.6113074204946997,0.6187682598586184,1.083579614898032
0,ContraceptiveMethods,NextConvGeN,0.4685744382022472,0.46234043606270425,
1,ContraceptiveMethods,CTGAN,0.47138342696629215,0.43703068569756964,
2,ContraceptiveMethods,convexCTGAN,0.4290730337078652,0.4301943626250859,
3,ContraceptiveMethods,CTABGAN,0.3356741573033708,0.321307821989261,
4,ContraceptiveMethods,convexCTABGAN,0.35990168539325845,0.3594494234387628,
5,ContraceptiveMethods,TabDDPM,0.45786516853932585,0.45919649972301047,
0,Migraine,NextConvGeN,0.7949468085106384,0.7867145480614001,
1,Migraine,CTGAN,0.7656914893617021,0.7539283605488081,
2,Migraine,convexCTGAN,0.7401595744680851,0.7441376649612577,
3,Migraine,CTABGAN,0.6156914893617021,0.6130509704746926,
4,Migraine,convexCTABGAN,0.5757978723404255,0.5841991256201415,
5,Migraine,TabDDPM,0.7906914893617021,0.7857214763150889,
0,Stroke,NextConvGeN,0.7365933170334149,0.7348772431258807,1.3320324642288528
1,Stroke,CTGAN,0.658761206193969,0.6678575359933498,1.5265651497337758
2,Stroke,convexCTGAN,0.7182559087204565,0.7152555132006109,1.3568603189137238
3,Stroke,CTABGAN,0.4876935615321923,0.5421664336817341,1.4585154222257055
4,Stroke,convexCTABGAN,0.6482477587612061,0.6570167861041117,1.5203525580902653
5,Stroke,TabDDPM,0.7618581907090465,0.7632016158210483,1.231286593457411
0,PimaIndianDiabetes,NextConvGeN,0.6458333333333334,0.6453644814090019,1.252114170518155
1,PimaIndianDiabetes,CTGAN,0.4947916666666667,0.4947916666666667,1.516831975610993
2,PimaIndianDiabetes,convexCTGAN,0.5546875,0.5603445693696822,1.4466525282369669
3,PimaIndianDiabetes,CTABGAN,0.5963541666666666,0.5785649712561746,1.4485074415986936
4,PimaIndianDiabetes,convexCTABGAN,0.6145833333333334,0.6145833333333334,1.4703169783655583
5,PimaIndianDiabetes,TabDDPM,0.59375,0.5871470418747599,1.0002973606932901
0,Obesity,NextConvGeN,0.8157972295903331,0.8156430337236429,
1,Obesity,CTGAN,0.551945181255526,0.5685138609144327,
2,Obesity,convexCTGAN,0.6414677276746242,0.6448092284700443,
3,Obesity,CTABGAN,0.3577954612437372,0.4161973622075036,
4,Obesity,convexCTABGAN,0.4534335396404362,0.5005618973051957,
5,Obesity,TabDDPM,0.831859711170056,0.8312649244749749,
0,LiverCirrhosis,NextConvGeN,0.6140350877192983,0.6069871338203838,1.0296476474941554
1,LiverCirrhosis,CTGAN,0.5614035087719299,0.5562534582327074,1.4585667230684747
2,LiverCirrhosis,convexCTGAN,0.5318979266347688,0.5397651858339813,1.5197287537294124
3,LiverCirrhosis,CTABGAN,0.3516746411483253,0.3749515990552932,1.2977781797059542
4,LiverCirrhosis,convexCTABGAN,0.4074960127591707,0.4299209217004611,1.475102399113147
5,LiverCirrhosis,TabDDPM,0.6156299840510367,0.5809687243076805,1.6482174841566362
0,HeartFailure,NextConvGeN,0.5966666666666667,0.5824238979308534,1.1882194938283575
1,HeartFailure,CTGAN,0.5516666666666667,0.5444166418404757,1.4022670797297092
2,HeartFailure,convexCTGAN,0.5566666666666666,0.5493055485228505,1.5855304932461618
3,HeartFailure,CTABGAN,0.5883333333333334,0.5491272473265143,1.2596195209501593
4,HeartFailure,convexCTABGAN,0.5566666666666666,0.5063517256607577,1.1790790488491718
5,HeartFailure,TabDDPM,0.6033333333333334,0.5997692870211457,1.3995728879978324
