,Dataset Name,Model,Accuracy,F1_score,RMSE
0,ContraceptiveMethods,NextConvGeN,0.4859550561797753,0.4783400999878195,
1,ContraceptiveMethods,CTGAN,0.47138342696629215,0.443330181531802,
2,ContraceptiveMethods,CTABGAN,0.3365519662921348,0.3358740338056003,
3,ContraceptiveMethods,TabDDPM,0.47507022471910115,0.4615354215354892,
4,ContraceptiveMethods,CART,0.5010533707865168,0.4702480336170821,
5,ContraceptiveMethods,DataSynth,0.28827247191011235,0.3118395455688432,
6,ContraceptiveMethods,GReaT,0.4957865168539326,0.4379703367199945,
0,HeartDisease,NextConvGeN,0.5620860927152318,0.5575603624519408,0.9526684977671884
1,HeartDisease,CTGAN,0.5033112582781457,0.48932287773070227,1.492190563059743
2,HeartDisease,CTABGAN,0.38824503311258274,0.3935681402579208,1.1305316356935828
3,HeartDisease,TabDDPM,0.5769867549668874,0.5718568826681534,1.2135901342664712
4,HeartDisease,CART,0.570364238410596,0.5498495981566872,1.091997649848518
5,HeartDisease,DataSynth,0.353476821192053,0.391235284441815,2.001734939169832
6,HeartDisease,GReaT,0.5471854304635762,0.5183472098761988,1.2710962404754769
0,HeartFailure,NextConvGeN,0.58,0.5675668794291936,1.0586103928399302
1,HeartFailure,CTGAN,0.5683333333333334,0.5653897593611785,1.6163539267424663
2,HeartFailure,CTABGAN,0.45499999999999996,0.4403154730416847,1.29180102719474
3,HeartFailure,TabDDPM,0.5650000000000001,0.5439959627225665,1.8817416615029512
4,HeartFailure,CART,0.5233333333333333,0.5194024234955865,1.4442164033231208
5,HeartFailure,DataSynth,0.5033333333333334,0.4904327866710071,1.7883504885812698
6,HeartFailure,GReaT,0.535,0.5072010182670486,1.4649662648600608
0,IndianLiverPatients,NextConvGeN,0.6643109540636042,0.6525704170790115,1.3979885335676852
1,IndianLiverPatients,CTGAN,0.6749116607773852,0.6398103792664042,1.3150699007589448
2,IndianLiverPatients,CTABGAN,0.6996466431095406,0.576008462934258,1.2084027187379114
3,IndianLiverPatients,TabDDPM,0.7173144876325088,0.6820909753771944,1.322946958993921
4,IndianLiverPatients,CART,0.6819787985865724,0.6395396096517854,1.2906108308415736
5,IndianLiverPatients,DataSynth,0.6183745583038869,0.6000532799863281,1.7398708173542128
6,IndianLiverPatients,GReaT,0.6819787985865724,0.6611252956769887,1.2586709546984811
0,LiverCirrhosis,NextConvGeN,0.6060606060606061,0.6019053348915663,1.081911374878987
1,LiverCirrhosis,CTGAN,0.5390749601275917,0.547378386912441,1.4717479009717005
2,LiverCirrhosis,CTABGAN,0.3995215311004785,0.4257499906651141,1.3992488467591406
3,LiverCirrhosis,TabDDPM,0.5677830940988836,0.5190995174535816,1.5539454088410811
4,LiverCirrhosis,CART,0.5733652312599681,0.5653096492820401,1.4300176788181929
5,LiverCirrhosis,DataSynth,0.3692185007974482,0.30684057099595563,1.514716224043212
6,LiverCirrhosis,GReaT,0.583732057416268,0.5688438975537161,1.2591073712000653
0,LungCancer,NextConvGeN,0.6248751248751249,0.6212774086580961,
1,LungCancer,CTGAN,0.532967032967033,0.5253843752537918,
2,LungCancer,CTABGAN,0.5614385614385615,0.5494796350039217,
3,LungCancer,TabDDPM,0.6168831168831168,0.6147271805021786,
4,LungCancer,CART,0.5619380619380621,0.5635138703495091,
5,LungCancer,DataSynth,0.5124875124875125,0.5093136721515938,
6,LungCancer,GReaT,0.5284715284715283,0.5290382874523465,
0,Migraine,NextConvGeN,0.8055851063829789,0.8009720859473243,
1,Migraine,CTGAN,0.7582446808510639,0.7474905236911753,
2,Migraine,CTABGAN,0.5752659574468085,0.5891020108866349,
3,Migraine,TabDDPM,0.7856382978723404,0.7852854884987025,
4,Migraine,CART,0.8095744680851065,0.7892379654915513,
5,Migraine,DataSynth,0.5553191489361701,0.6152687456606853,
6,Migraine,GReaT,0.8007978723404255,0.7642476402573327,
0,Obesity,NextConvGeN,0.8092396109637489,0.8093902981234399,
1,Obesity,CTGAN,0.5423666371942234,0.5576939099734185,
2,Obesity,CTABGAN,0.3709106984969054,0.4284433374735962,
3,Obesity,TabDDPM,0.8432066018272913,0.8420926543855737,
4,Obesity,CART,0.7386531093427645,0.7390626828240486,
5,Obesity,DataSynth,0.3023135867963454,0.34262725330007093,
6,Obesity,GReaT,0.6069849690539346,0.6062502780061988,
0,PimaIndianDiabetes,NextConvGeN,0.6770833333333334,0.6806789059738424,1.1926423533725647
1,PimaIndianDiabetes,CTGAN,0.5390625,0.5450931927127999,1.4451673026950829
2,PimaIndianDiabetes,CTABGAN,0.5885416666666666,0.5531149947022308,1.3816983778527046
3,PimaIndianDiabetes,TabDDPM,0.6328125,0.6220898442155951,1.2808707838428883
4,PimaIndianDiabetes,CART,0.6302083333333334,0.6332782356894371,1.347991727007162
5,PimaIndianDiabetes,DataSynth,0.4947916666666667,0.5017131391491022,1.7164303241164056
6,PimaIndianDiabetes,GReaT,0.515625,0.522834854653708,1.4129702796451742
0,Stroke,NextConvGeN,0.7252648736756316,0.7285796898879472,1.3196714352791945
1,Stroke,CTGAN,0.6859005704971475,0.6866311858086797,1.4179019042934629
2,Stroke,CTABGAN,0.5442542787286063,0.5898181414463429,1.3795429891235522
3,Stroke,TabDDPM,0.7726976365118174,0.771585019571663,1.150149745487857
4,Stroke,CART,0.7079869600651996,0.7130552505941725,1.4073084720670512
5,Stroke,DataSynth,0.4832110839445803,0.5364237894101007,1.6086810572409074
6,Stroke,GReaT,0.7318663406682967,0.7251242513223249,1.3155220233083382
