,Dataset Name,Model,Accuracy,F1_score,RMSE
0,HeartDisease,NextConvGeN,0.5620860927152318,0.5575603624519408,0.9526684977671884
1,HeartDisease,CTGAN,0.5033112582781457,0.48932287773070227,1.492190563059743
2,HeartDisease,convexCTGAN,0.5132450331125828,0.5179819817849955,1.5077983676238185
3,HeartDisease,CTABGAN,0.38824503311258274,0.3935681402579208,1.1305316356935828
4,HeartDisease,convexCTABGAN,0.4147350993377483,0.3753916635418484,0.9983148119544676
5,HeartDisease,TabDDPM,0.5769867549668874,0.5718568826681534,1.2135901342664712
0,LungCancer,NextConvGeN,0.6248751248751249,0.621277408658096,
1,LungCancer,CTGAN,0.532967032967033,0.5253843752537918,
2,LungCancer,convexCTGAN,0.5094905094905096,0.5010619135317281,
3,LungCancer,CTABGAN,0.5614385614385615,0.5494796350039217,
4,LungCancer,convexCTABGAN,0.5254745254745254,0.5183507146474639,
5,LungCancer,TabDDPM,0.6168831168831168,0.6147271805021786,
0,IndianLiverPatients,NextConvGeN,0.6643109540636042,0.6525704170790114,1.3979885335676852
1,IndianLiverPatients,CTGAN,0.6749116607773852,0.6398103792664042,1.3150699007589448
2,IndianLiverPatients,convexCTGAN,0.6289752650176679,0.6159988820346969,1.5250013355864747
3,IndianLiverPatients,CTABGAN,0.6996466431095406,0.576008462934258,1.2084027187379114
4,IndianLiverPatients,convexCTABGAN,0.5335689045936396,0.5302814083187875,1.202427099131373
5,IndianLiverPatients,TabDDPM,0.7173144876325088,0.6820909753771944,1.322946958993921
0,ContraceptiveMethods,NextConvGeN,0.4887640449438202,0.47992299605456623,
1,ContraceptiveMethods,CTGAN,0.47138342696629215,0.44333018153180204,
2,ContraceptiveMethods,convexCTGAN,0.41520365168539325,0.4207474699280952,
3,ContraceptiveMethods,CTABGAN,0.3365519662921348,0.3358740338056003,
4,ContraceptiveMethods,convexCTABGAN,0.363939606741573,0.36447840867041614,
5,ContraceptiveMethods,TabDDPM,0.47507022471910115,0.46153542153548915,
0,Migraine,NextConvGeN,0.8114361702127659,0.8052880598947892,
1,Migraine,CTGAN,0.7582446808510639,0.7474905236911753,
2,Migraine,convexCTGAN,0.7377659574468086,0.7409161179461383,
3,Migraine,CTABGAN,0.5752659574468085,0.5891020108866349,
4,Migraine,convexCTABGAN,0.5321808510638297,0.5596045201779508,
5,Migraine,TabDDPM,0.7856382978723404,0.7852854884987025,
0,Stroke,NextConvGeN,0.7252648736756316,0.7285796898879472,1.3213891885815163
1,Stroke,CTGAN,0.6859005704971475,0.6866311858086797,1.4179019042934629
2,Stroke,convexCTGAN,0.6940505297473514,0.701178655409252,1.3288999204390395
3,Stroke,CTABGAN,0.5442542787286063,0.5898181414463429,1.3795429891235522
4,Stroke,convexCTABGAN,0.6528117359413204,0.6650659633737274,1.409671220236127
5,Stroke,TabDDPM,0.7726976365118174,0.771585019571663,1.150149745487857
0,PimaIndianDiabetes,NextConvGeN,0.6770833333333334,0.6806789059738424,1.1914613129916716
1,PimaIndianDiabetes,CTGAN,0.5390625,0.5450931927127999,1.4451673026950829
2,PimaIndianDiabetes,convexCTGAN,0.5989583333333334,0.6039514816718056,1.4238088640604165
3,PimaIndianDiabetes,CTABGAN,0.5885416666666666,0.5531149947022308,1.3816983778527046
4,PimaIndianDiabetes,convexCTABGAN,0.578125,0.568712586022688,1.4638729883007415
5,PimaIndianDiabetes,TabDDPM,0.6328125,0.622089844215595,1.2808707838428883
0,Obesity,NextConvGeN,0.8090922487474211,0.8091152066690527,
1,Obesity,CTGAN,0.5423666371942234,0.5576939099734186,
2,Obesity,convexCTGAN,0.6250368405540818,0.6341328852137919,
3,Obesity,CTABGAN,0.3709106984969054,0.4284433374735961,
4,Obesity,convexCTABGAN,0.42027704096669616,0.4692331509998684,
5,Obesity,TabDDPM,0.8432066018272913,0.8420926543855737,
0,LiverCirrhosis,NextConvGeN,0.6060606060606061,0.6019053348915663,1.081911374878987
1,LiverCirrhosis,CTGAN,0.5390749601275917,0.547378386912441,1.4717479009717005
2,LiverCirrhosis,convexCTGAN,0.5127591706539075,0.5216293695888171,1.46342535632236
3,LiverCirrhosis,CTABGAN,0.3995215311004785,0.42574999066511415,1.3992488467591406
4,LiverCirrhosis,convexCTABGAN,0.3468899521531101,0.37361326654055443,1.495467036576613
5,LiverCirrhosis,TabDDPM,0.5677830940988836,0.5190995174535816,1.5539454088410811
0,HeartFailure,NextConvGeN,0.58,0.5675668794291936,1.0586103928399302
1,HeartFailure,CTGAN,0.5683333333333334,0.5653897593611785,1.6163539267424663
2,HeartFailure,convexCTGAN,0.5766666666666667,0.5629761816274826,1.3587197542190348
3,HeartFailure,CTABGAN,0.45499999999999996,0.4403154730416847,1.29180102719474
4,HeartFailure,convexCTABGAN,0.5066666666666667,0.4813615269741076,1.299009519058439
5,HeartFailure,TabDDPM,0.5650000000000001,0.5439959627225663,1.8817416615029512
