,Dataset Name,Model,Accuracy,F1_score,RMSE
0,HeartDisease,NextConvGeN,0.5198675496688742,0.5070902891437747,0.860517762519011
1,HeartDisease,CTGAN,0.4768211920529801,0.46135275914359763,1.357044841661133
2,HeartDisease,convexCTGAN,0.45281456953642385,0.45497066773150585,1.6189031882289613
3,HeartDisease,CTABGAN,0.4089403973509934,0.3721903595856296,1.3190095893605314
4,HeartDisease,convexCTABGAN,0.4337748344370861,0.4132965858191973,1.1835206047359748
5,HeartDisease,TabDDPM,0.5976821192052981,0.5921108235300483,1.2135718765934285
0,LungCancer,NextConvGeN,0.6426978818283167,0.6397213078119057,
1,LungCancer,CTGAN,0.5039018952062431,0.5030521746198907,
2,LungCancer,convexCTGAN,0.4966555183946489,0.4864984338117369,
3,LungCancer,CTABGAN,0.46934225195094764,0.4613562593102912,
4,LungCancer,convexCTABGAN,0.42920847268673346,0.4092622867969956,
5,LungCancer,TabDDPM,0.6120401337792643,0.6087730292906313,
0,IndianLiverPatients,NextConvGeN,0.3710247349823322,0.36570960265196134,1.3262907751158233
1,IndianLiverPatients,CTGAN,0.3568904593639576,0.32953817884819403,1.3511005289601437
2,IndianLiverPatients,convexCTGAN,0.29328621908127206,0.28963115511765275,1.5216291938437498
3,IndianLiverPatients,CTABGAN,0.36395759717314485,0.29209576538614157,1.3092885834051606
4,IndianLiverPatients,convexCTABGAN,0.2968197879858657,0.22509022883165475,1.1659864947603518
5,IndianLiverPatients,TabDDPM,0.3392226148409894,0.35344934858730237,1.4305761292006478
0,T2DM,NextConvGeN,0.6151718688265506,0.6072651187321787,1.2653820700514382
1,T2DM,CTGAN,0.5433975842411243,0.5491972520345392,1.4432862690327708
2,T2DM,convexCTGAN,0.5882626855562455,0.581775820167941,1.265691940382394
3,T2DM,CTABGAN,0.4219182141446068,0.4607426885494406,1.5368556632844297
4,T2DM,convexCTABGAN,0.5384941017102218,0.5333566325861424,1.3739015722089039
5,T2DM,TabDDPM,0.6295648247445956,0.6270544225664149,1.2110144935025586
0,ContraceptiveMethods,NextConvGeN,0.4961376404494382,0.49663352410442363,
1,ContraceptiveMethods,CTGAN,0.47981039325842695,0.44438055106636365,
2,ContraceptiveMethods,convexCTGAN,0.457689606741573,0.4484559641552066,
3,ContraceptiveMethods,CTABGAN,0.33058286516853935,0.34789721294402826,
4,ContraceptiveMethods,convexCTABGAN,0.39782303370786515,0.39421122629779975,
5,ContraceptiveMethods,TabDDPM,0.5135182584269663,0.5123808094528677,
0,StudentsMentalHealth,NextConvGeN,0.7033333333333335,0.6862418592996606,0.6077793129802693
1,StudentsMentalHealth,CTGAN,0.5733333333333334,0.5496914897395055,1.146556914065679
2,StudentsMentalHealth,convexCTGAN,0.52,0.5051495396925405,1.1057567021484236
3,StudentsMentalHealth,CTABGAN,0.39666666666666667,0.41970366113626945,1.5091115977244978
4,StudentsMentalHealth,convexCTABGAN,0.49,0.47135929166765883,0.9564619418184628
5,StudentsMentalHealth,TabDDPM,0.6566666666666666,0.6331107645866071,0.9729010103136164
0,Migraine,NextConvGeN,0.7938829787234043,0.7901642329281915,
1,Migraine,CTGAN,0.7553191489361702,0.7340290127460992,
2,Migraine,convexCTGAN,0.7327127659574468,0.7292760236017214,
3,Migraine,CTABGAN,0.5545212765957447,0.5732440453194962,
4,Migraine,convexCTABGAN,0.4835106382978724,0.5178224709406476,
5,Migraine,TabDDPM,0.8023936170212768,0.801170099031356,
0,Stroke,NextConvGeN,0.6259168704156479,0.6264308570706447,1.2810574273984976
1,Stroke,CTGAN,0.5641401792991034,0.5699614675187579,1.5056639776041634
2,Stroke,convexCTGAN,0.580521597392013,0.587786146368608,1.3577648906570154
3,Stroke,CTABGAN,0.39885900570497146,0.4448519430315569,1.3458437546664672
4,Stroke,convexCTABGAN,0.5277098614506929,0.528844017251651,1.389115094284755
5,Stroke,TabDDPM,0.6655256723716383,0.6676967472198074,1.2127257437565064
0,PimaIndianDiabetes,NextConvGeN,0.6223958333333334,0.6177888141485022,1.2416248280948634
1,PimaIndianDiabetes,CTGAN,0.08072916666666667,0.08004183318417456,1.5038491295973924
2,PimaIndianDiabetes,convexCTGAN,0.18489583333333334,0.18058550105675208,1.4667540336982203
3,PimaIndianDiabetes,CTABGAN,0.15104166666666666,0.14861791048858333,1.4092130666625864
4,PimaIndianDiabetes,convexCTABGAN,0.16927083333333334,0.1633858506663721,1.4476218675952937
5,PimaIndianDiabetes,TabDDPM,0.4557291666666667,0.4340977581683823,1.0796007065389919
0,Obesity,NextConvGeN,0.8076923076923076,0.8077972463198259,
1,Obesity,CTGAN,0.5778072502210432,0.5839726078996453,
2,Obesity,convexCTGAN,0.6429413498379015,0.6498452803474586,
3,Obesity,CTABGAN,0.3690686707928087,0.4286535544654732,
4,Obesity,convexCTABGAN,0.4356027114647804,0.4911717068446428,
5,Obesity,TabDDPM,0.8304597701149427,0.8301397203855642,
0,LiverCirrhosis,NextConvGeN,0.6283891547049442,0.6335703102276157,0.9978585190742116
1,LiverCirrhosis,CTGAN,0.5358851674641149,0.5548401911081989,1.461075967854705
2,LiverCirrhosis,convexCTGAN,0.5637958532695374,0.580404891223966,1.5724950082804072
3,LiverCirrhosis,CTABGAN,0.3755980861244019,0.41292238243496154,1.4204472068452814
4,LiverCirrhosis,convexCTABGAN,0.45055821371610844,0.4741151302185756,1.5195000656997715
5,LiverCirrhosis,TabDDPM,0.5909090909090909,0.5705082890035739,1.5379280834275484
0,HeartFailure,NextConvGeN,0.5533333333333333,0.548585323567545,1.0589111560127291
1,HeartFailure,CTGAN,0.4766666666666667,0.4748477863563413,1.4010176699803527
2,HeartFailure,convexCTGAN,0.535,0.5302536830982911,1.532346771554738
3,HeartFailure,CTABGAN,0.545,0.492818118699222,1.263560120550564
4,HeartFailure,convexCTABGAN,0.525,0.4712193170146389,1.2262199563326417
5,HeartFailure,TabDDPM,0.6016666666666667,0.5973160396746643,0.9535116299930205
